SUMMARY:
 version, unused interface, unused block, sloppy, lego, function overload, duplicate functionality, logical deps
2.3.30,4,0,52,0,5,0,0,
2.3.32,8,0,52,0,5,0,0,
2.5.2,7,0,47,0,5,0,0,
2.5.8,6,0,47,0,5,0,0,
2.5.10.1,5,0,48,0,5,0,0,

DETAILS:

2.3.30:

Unused interface: 
componentName, className
org.apache.struts2.dojo.views.ss,org.apache.struts2.dojo.views.DojoTagLibrary,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.AppendIteratorTag,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.MergeIteratorTag,,
org.apache.struts2.jasper.compiler.ss,org.apache.struts2.jasper.compiler.Dumper,,

Unused components:
component Name,

Sloppy Delegation:
component, affected class, total class, percentages
org.apache.struts2.sitemesh.ss,org.apache.struts2.sitemesh.NoneDecoratorMapper,,

Unused components:
component Name,

Sloppy Delegation:
component, affected class, total class, percentages
org.apache.struts2.views.freemarker.tags.ss,41,102,40.19608
org.apache.struts2.el.ss,1,4,25.0
org.apache.struts2.config.ss,2,12,16.666666
org.apache.struts2.interceptor.ss,9,30,30.0
org.apache.struts2.views.ss,15,94,15.957447
org.apache.struts2.jasper.ss,2,7,28.571428
org.apache.struts2.components.ss,3,31,9.67742
org.apache.struts2.el.parser.ss,10,71,14.084507
org.apache.struts2.config_browser.ss,3,10,30.0
org.apache.struts2.osgi.host.ss,1,9,11.111111
org.apache.struts2.validators.ss,1,7,14.285714
org.apache.struts2.ss,2,80,2.5
org.apache.struts2.views.jsp.ss,2,7,28.571428
org.apache.struts2.views.xslt.ss,14,86,16.27907
org.apache.struts2.plexus.ss,1,15,6.6666665
org.apache.struts2.portlet.interceptor.ss,4,17,23.529411
org.apache.struts2.interceptor.debugging.ss,2,11,18.181818
com.opensymphony.xwork2.config.providers.ss,3,100,3.0
org.apache.struts2.factory.ss,1,5,20.0
org.apache.struts2.jasper.compiler.ss,4,190,2.1052632
org.apache.struts2.el.lang.ss,4,31,12.903226
org.apache.struts2.portlet.ss,1,11,9.090909
org.apache.struts2.views.jsp.ui.ss,3,9,33.333332
org.apache.struts2.dispatcher.multipart.ss,2,22,9.090909
org.apache.struts2.cdi.ss,1,8,12.5
org.apache.struts2.jasper.el.ss,1,18,5.5555553
org.apache.struts2.convention.ss,2,39,5.1282053
org.apache.struts2.jasper.servlet.ss,2,11,18.181818
org.apache.struts2.views.java.simple.ss,6,72,8.333333
org.apache.struts2.views.freemarker.ss,2,36,5.5555553
org.apache.struts2.rest.ss,5,41,12.195122
org.apache.struts2.json.ss,7,46,15.217391
org.apache.struts2.views.jasperreports.ss,2,26,7.6923075
org.apache.struts2.jasper.xmlparser.ss,8,32,25.0
org.apache.struts2.jasper.tagplugins.jstl.ss,1,5,20.0
org.apache.struts2.portlet.result.ss,2,12,16.666666
org.apache.struts2.util.ss,5,35,14.285714
org.apache.struts2.views.tiles.ss,6,18,33.333332
org.apache.struts2.dispatcher.ss,6,35,17.142857
org.apache.struts2.osgi.ss,1,35,2.857143
org.apache.struts2.sitemesh.ss,4,42,9.523809
org.apache.struts2.views.jsp.iterator.ss,5,18,27.777779
org.apache.struts2.sitegraph.ss,3,21,14.285714
org.apache.struts2.sitegraph.renderers.ss,1,14,7.142857
org.apache.struts2.util.tomcat.buf.ss,6,32,18.75
org.apache.struts2.views.velocity.ss,3,19,15.789474

Lego and Overload:
componentName, number of public methods , smells
org.apache.struts2.views.freemarker.tags.ss, 93,Overload
org.apache.struts2.views.ss, 89,Overload
org.apache.struts2.el.parser.ss, 55,Overload
org.apache.struts2.views.java.simple.ss, 59,Overload
org.apache.struts2.jasper.compiler.ss, 151,Overload

Code colone based:
componentName, affected classes, total classes, percentages

Co change: 
componentName, other components , smells?

2.5.8:

